    10101.,    20101.,    30101.,    40101.,    50101.,    60101.,
    10102.,    20102.,    30102.,    40102.,    50102.,    60102.,
    10103.,    20103.,    30103.,    40103.,    50103.,    60103.,
    10104.,    20104.,    30104.,    40104.,    50104.,    60104.,
    10105.,    20105.,    30105.,    40105.,    50105.,    60105.,
    10106.,    20106.,    30106.,    40106.,    50106.,    60106.,
    10107.,    20107.,    30107.,    40107.,    50107.,    60107.,
    10108.,    20108.,    30108.,    40108.,    50108.,    60108.,
    10109.,    20109.,    30109.,    40109.,    50109.,    60109.,
    10110.,    20110.,    30110.,    40110.,    50110.,    60110.,
    10201.,    20201.,    30201.,    40201.,    50201.,    60201.,
    10202.,    20202.,    30202.,    40202.,    50202.,    60202.,
    10203.,    20203.,    30203.,    40203.,    50203.,    60203.,
    10204.,    20204.,    30204.,    40204.,    50204.,    60204.,
    10205.,    20205.,    30205.,    40205.,    50205.,    60205.,
    10206.,    20206.,    30206.,    40206.,    50206.,    60206.,
    10207.,    20207.,    30207.,    40207.,    50207.,    60207.,
    10208.,    20208.,    30208.,    40208.,    50208.,    60208.,
    10209.,    20209.,    30209.,    40209.,    50209.,    60209.,
    10210.,    20210.,    30210.,    40210.,    50210.,    60210.,
    10301.,    20301.,    30301.,    40301.,    50301.,    60301.,
    10302.,    20302.,    30302.,    40302.,    50302.,    60302.,
    10303.,    20303.,    30303.,    40303.,    50303.,    60303.,
    10304.,    20304.,    30304.,    40304.,    50304.,    60304.,
    10305.,    20305.,    30305.,    40305.,    50305.,    60305.,
    10306.,    20306.,    30306.,    40306.,    50306.,    60306.,
    10307.,    20307.,    30307.,    40307.,    50307.,    60307.,
    10308.,    20308.,    30308.,    40308.,    50308.,    60308.,
    10309.,    20309.,    30309.,    40309.,    50309.,    60309.,
    10310.,    20310.,    30310.,    40310.,    50310.,    60310.,
    10401.,    20401.,    30401.,    40401.,    50401.,    60401.,
    10402.,    20402.,    30402.,    40402.,    50402.,    60402.,
    10403.,    20403.,    30403.,    40403.,    50403.,    60403.,
    10404.,    20404.,    30404.,    40404.,    50404.,    60404.,
    10405.,    20405.,    30405.,    40405.,    50405.,    60405.,
    10406.,    20406.,    30406.,    40406.,    50406.,    60406.,
    10407.,    20407.,    30407.,    40407.,    50407.,    60407.,
    10408.,    20408.,    30408.,    40408.,    50408.,    60408.,
    10409.,    20409.,    30409.,    40409.,    50409.,    60409.,
    10410.,    20410.,    30410.,    40410.,    50410.,    60410.,
    10501.,    20501.,    30501.,    40501.,    50501.,    60501.,
    10502.,    20502.,    30502.,    40502.,    50502.,    60502.,
    10503.,    20503.,    30503.,    40503.,    50503.,    60503.,
    10504.,    20504.,    30504.,    40504.,    50504.,    60504.,
    10505.,    20505.,    30505.,    40505.,    50505.,    60505.,
    10506.,    20506.,    30506.,    40506.,    50506.,    60506.,
    10507.,    20507.,    30507.,    40507.,    50507.,    60507.,
    10508.,    20508.,    30508.,    40508.,    50508.,    60508.,
    10509.,    20509.,    30509.,    40509.,    50509.,    60509.,
    10510.,    20510.,    30510.,    40510.,    50510.,    60510.,
    10601.,    20601.,    30601.,    40601.,    50601.,    60601.,
    10602.,    20602.,    30602.,    40602.,    50602.,    60602.,
    10603.,    20603.,    30603.,    40603.,    50603.,    60603.,
    10604.,    20604.,    30604.,    40604.,    50604.,    60604.,
    10605.,    20605.,    30605.,    40605.,    50605.,    60605.,
    10606.,    20606.,    30606.,    40606.,    50606.,    60606.,
    10607.,    20607.,    30607.,    40607.,    50607.,    60607.,
    10608.,    20608.,    30608.,    40608.,    50608.,    60608.,
    10609.,    20609.,    30609.,    40609.,    50609.,    60609.,
    10610.,    20610.,    30610.,    40610.,    50610.,    60610.,
    10701.,    20701.,    30701.,    40701.,    50701.,    60701.,
    10702.,    20702.,    30702.,    40702.,    50702.,    60702.,
    10703.,    20703.,    30703.,    40703.,    50703.,    60703.,
    10704.,    20704.,    30704.,    40704.,    50704.,    60704.,
    10705.,    20705.,    30705.,    40705.,    50705.,    60705.,
    10706.,    20706.,    30706.,    40706.,    50706.,    60706.,
    10707.,    20707.,    30707.,    40707.,    50707.,    60707.,
    10708.,    20708.,    30708.,    40708.,    50708.,    60708.,
    10709.,    20709.,    30709.,    40709.,    50709.,    60709.,
    10710.,    20710.,    30710.,    40710.,    50710.,    60710.,
    10801.,    20801.,    30801.,    40801.,    50801.,    60801.,
    10802.,    20802.,    30802.,    40802.,    50802.,    60802.,
    10803.,    20803.,    30803.,    40803.,    50803.,    60803.,
    10804.,    20804.,    30804.,    40804.,    50804.,    60804.,
    10805.,    20805.,    30805.,    40805.,    50805.,    60805.,
    10806.,    20806.,    30806.,    40806.,    50806.,    60806.,
    10807.,    20807.,    30807.,    40807.,    50807.,    60807.,
    10808.,    20808.,    30808.,    40808.,    50808.,    60808.,
    10809.,    20809.,    30809.,    40809.,    50809.,    60809.,
    10810.,    20810.,    30810.,    40810.,    50810.,    60810.,
